latitude,longitude,value,date,variable
6.0,72.5,5.377642023295688e-05,2019-02-15,hcho
6.0,73.0,5.060152796204479e-05,2019-02-15,hcho
6.0,73.5,5.012208259428403e-05,2019-02-15,hcho
6.0,74.0,5.0122164683154814e-05,2019-02-15,hcho
6.0,74.5,5.918891354543767e-05,2019-02-15,hcho
6.0,75.0,5.513002311366526e-05,2019-02-15,hcho
6.0,75.5,4.8945477538225956e-05,2019-02-15,hcho
6.0,76.0,5.400564968583054e-05,2019-02-15,hcho
6.0,76.5,5.250266082573089e-05,2019-02-15,hcho
6.0,77.0,4.172644824461172e-05,2019-02-15,hcho
6.0,77.5,4.622869386622859e-05,2019-02-15,hcho
6.0,78.0,5.286408613087708e-05,2019-02-15,hcho
6.0,78.5,5.8621093312508484e-05,2019-02-15,hcho
6.0,79.0,5.0163967965468034e-05,2019-02-15,hcho
6.0,79.5,4.85709358452748e-05,2019-02-15,hcho
6.0,80.0,5.184746241645005e-05,2019-02-15,hcho
6.0,80.5,4.828965601830669e-05,2019-02-15,hcho
6.0,81.0,4.983438071893433e-05,2019-02-15,hcho
6.0,81.5,5.122536334421105e-05,2019-02-15,hcho
6.0,82.0,4.6004294823121213e-05,2019-02-15,hcho
6.0,82.5,5.540557402841666e-05,2019-02-15,hcho
6.0,83.0,4.51886312180456e-05,2019-02-15,hcho
6.0,83.5,4.465191922340856e-05,2019-02-15,hcho
6.0,84.0,5.2277155647246334e-05,2019-02-15,hcho
6.0,84.5,5.498518236787777e-05,2019-02-15,hcho
6.0,85.0,5.2149690873850565e-05,2019-02-15,hcho
6.5,72.5,5.1525486702779586e-05,2019-02-15,hcho
6.5,73.0,5.059820963677435e-05,2019-02-15,hcho
6.5,73.5,4.980053425992186e-05,2019-02-15,hcho
6.5,74.0,5.738933924581537e-05,2019-02-15,hcho
6.5,74.5,5.3724147961694765e-05,2019-02-15,hcho
6.5,75.0,5.017831671263921e-05,2019-02-15,hcho
6.5,75.5,4.8719118113191e-05,2019-02-15,hcho
6.5,75.5,30.34845166229189,2019-02-15,frp
6.5,76.0,5.516210955892513e-05,2019-02-15,hcho
6.5,76.5,5.65753897652646e-05,2019-02-15,hcho
6.5,77.0,5.587871710094447e-05,2019-02-15,hcho
6.5,77.5,4.4562961666983375e-05,2019-02-15,hcho
6.5,78.0,5.7601962993644895e-05,2019-02-15,hcho
6.5,78.5,5.8002309838224296e-05,2019-02-15,hcho
6.5,79.0,4.76126884174424e-05,2019-02-15,hcho
6.5,79.5,4.6914578732143376e-05,2019-02-15,hcho
6.5,80.0,5.172470938957986e-05,2019-02-15,hcho
6.5,80.5,5.958089937913816e-05,2019-02-15,hcho
6.5,81.0,5.379463437468739e-05,2019-02-15,hcho
6.5,81.5,5.0110536164644786e-05,2019-02-15,hcho
6.5,82.0,5.179940767734706e-05,2019-02-15,hcho
6.5,82.5,4.5009975821763775e-05,2019-02-15,hcho
6.5,83.0,5.7316186201417896e-05,2019-02-15,hcho
6.5,83.5,4.943164584635327e-05,2019-02-15,hcho
6.5,84.0,4.462845876064911e-05,2019-02-15,hcho
6.5,84.5,5.1042921006162656e-05,2019-02-15,hcho
6.5,85.0,4.996938414452218e-05,2019-02-15,hcho
7.0,72.5,5.539159540237785e-05,2019-02-15,hcho
7.0,73.0,5.867528700941396e-05,2019-02-15,hcho
7.0,73.5,5.9743664412502704e-05,2019-02-15,hcho
7.0,74.0,5.376212021452799e-05,2019-02-15,hcho
7.0,74.5,5.160120283129105e-05,2019-02-15,hcho
7.0,75.0,5.1045225124090014e-05,2019-02-15,hcho
7.0,75.5,3.960847350693647e-05,2019-02-15,hcho
7.0,76.0,5.461194346419765e-05,2019-02-15,hcho
7.0,76.5,5.5149035377421373e-05,2019-02-15,hcho
7.0,77.0,5.2054049202998494e-05,2019-02-15,hcho
7.0,77.5,4.816906970241751e-05,2019-02-15,hcho
7.0,78.0,5.9904147438050295e-05,2019-02-15,hcho
7.0,78.5,5.279159972219562e-05,2019-02-15,hcho
7.0,79.0,4.4516830634802706e-05,2019-02-15,hcho
7.0,79.5,5.339609215750216e-05,2019-02-15,hcho
7.0,80.0,5.0721307342013755e-05,2019-02-15,hcho
7.0,80.5,5.5273124241921456e-05,2019-02-15,hcho
7.0,81.0,5.158921052105937e-05,2019-02-15,hcho
7.0,81.5,5.458345856568704e-05,2019-02-15,hcho
7.0,82.0,5.2847452995030956e-05,2019-02-15,hcho
7.0,82.5,4.90076732149691e-05,2019-02-15,hcho
7.0,83.0,5.6750058024200066e-05,2019-02-15,hcho
7.0,83.5,5.991038027414476e-05,2019-02-15,hcho
7.0,84.0,5.984598251221334e-05,2019-02-15,hcho
7.0,84.5,5.041719133373719e-05,2019-02-15,hcho
7.0,85.0,5.750016678646359e-05,2019-02-15,hcho
7.5,72.5,6.2165799968859e-05,2019-02-15,hcho
7.5,72.5,15.764458768242326,2019-02-15,frp
7.5,73.0,5.8000722278643586e-05,2019-02-15,hcho
7.5,73.5,4.8321256631836164e-05,2019-02-15,hcho
7.5,74.0,5.60007373536426e-05,2019-02-15,hcho
7.5,74.5,4.9716508738785504e-05,2019-02-15,hcho
7.5,75.0,5.202246761943831e-05,2019-02-15,hcho
7.5,75.5,5.770036128731504e-05,2019-02-15,hcho
7.5,76.0,4.747845361829691e-05,2019-02-15,hcho
7.5,76.5,4.559535902766055e-05,2019-02-15,hcho
7.5,77.0,5.455594449312821e-05,2019-02-15,hcho
7.5,77.5,5.4932189171708804e-05,2019-02-15,hcho
7.5,78.0,5.754188955935324e-05,2019-02-15,hcho
7.5,78.5,5.624248302855118e-05,2019-02-15,hcho
7.5,79.0,5.511769856663262e-05,2019-02-15,hcho
7.5,79.5,5.023265159257423e-05,2019-02-15,hcho
7.5,80.0,5.4794043686271706e-05,2019-02-15,hcho
7.5,80.5,5.5098137566960095e-05,2019-02-15,hcho
7.5,80.5,7.629737241562985,2019-02-15,frp
7.5,81.0,5.006101811033485e-05,2019-02-15,hcho
7.5,81.5,5.887951216207102e-05,2019-02-15,hcho
7.5,82.0,6.025830350803769e-05,2019-02-15,hcho
7.5,82.5,4.9876878077147046e-05,2019-02-15,hcho
7.5,83.0,4.7980634934864036e-05,2019-02-15,hcho
7.5,83.5,5.575520642074894e-05,2019-02-15,hcho
7.5,84.0,5.833545312527674e-05,2019-02-15,hcho
7.5,84.5,4.67834199168852e-05,2019-02-15,hcho
7.5,85.0,4.97738714530004e-05,2019-02-15,hcho
8.0,72.5,5.874048955894494e-05,2019-02-15,hcho
8.0,73.0,5.314914927702142e-05,2019-02-15,hcho
8.0,73.5,6.801923261329917e-05,2019-02-15,hcho
